,Movie,Tags
101,Zübük,z b k comedy crime drama kartaltibet kemalsunal nevraserezli metinserezli zbk gets expel political party member   due corruption   journalist Yasar want make news story case investigate zbk s doing   Yasar   see full summary
102,Gol Maal,gol maal comedy romance hrishikeshmukherjee amolpalekar bindiyagoswami devenverma man s simple lie secure job escalate complex lie orthodox boss get suspicious
103,Çöpçüler Krali,  p  ler krali comedy romance zekikten kemalsunal senersen aysengruda go daily routine stereotypical neighborhood   street cleaner fall love charwoman   unfortunately   boss
104,Thalapathi,thalapathi action crime drama maniratnam rajinikanth mammootty shobana orphan name Surya raise slum befriend good crime boss name Devaraj work   existence threaten new honest district collector arrive
105,Operatsiya 'Y' i drugie priklyucheniya Shurika,operatsiya  y  i drugie priklyucheniya shurika comedy crime drama leonidgaidai aleksandrdemyanenko mikhailpugovkin alekseismirnov three story Shurik   young student   fight criminal   fall love   confuse apartment   pass exam   live
106,Raiders of the Lost Ark,raiders of the lost ark action adventure stevenspielberg harrisonford karenallen paulfreeman    archaeologist adventurer Indiana Jones hire US government find Ark Covenant Nazis obtain awesome power
107,Spider-Man: Into the Spider-Verse,spider man  into the spider verse animation action adventure bobpersichetti peterramsey rodneyrothman shameikmoore Teen Miles Morales become spiderman universe must join five spiderpowere individual dimension stop threat reality
108,Aliens,aliens action adventure sci fi jamescameron sigourneyweaver michaelbiehn carriehenn decade survive Nostromo incident   Ellen Ripley send reestablish contact terraforming colony find battle Alien Queen offspre
109,Avengers: Endgame,avengers  endgame action adventure drama anthonyrusso joerusso robertdowneyjr  chrisevans devastating event Avengers   Infinity War      universe ruin   help remain ally   avenger assemble order reverse Thanos   action restore balance universe
110,Django Unchained,django unchained drama western quentintarantino jamiefoxx christophwaltz leonardodicaprio help german bountyhunter   free slave set rescue wife brutal plantation owner Mississippi
111,The Shining,the shining drama horror stanleykubrick jacknicholson shelleyduvall dannylloyd family head isolate hotel winter sinister presence influence father violence   psychic son see horrific foreboding past future
112,Oldeuboi,oldeuboi action drama mystery parkchanwook choimin sik yooji tae kanghye jeong kidnap imprison fifteen year   oh DaeSu release   find must find captor five day
113,Joker,joker crime drama thriller toddphillips joaquinphoenix robertdeniro zaziebeetz rise Arthur Fleck   aspire standup comedian pariah Gotham s clown prince leader revolution
114,The Dark Knight Rises,the dark knight rises action drama thriller christophernolan christianbale tomhardy annehathaway eight year Joker s reign chaos   Batman coerce exile assistance mysterious Selina Kyle order defend Gotham City vicious guerrilla terrorist Bane
115,Idi i smotri,idi i smotri drama thriller war elemklimov alekseykravchenko olgamironova liubomiraslaucevicius find old rifle   young boy join soviet resistance movement ruthless german force experience horror World War II
116,Apocalypse Now,apocalypse now drama mystery war francisfordcoppola martinsheen marlonbrando robertduvall US Army officer serve Vietnam task assassinate renegade Special Forces Colonel see god
117,Amadeus,amadeus biography drama music milosforman f murrayabraham tomhulce elizabethberridge life   success trouble Wolfgang Amadeus Mozart   tell Antonio Salieri   contemporaneous composer deeply jealous Mozart s talent claim murder
118,Memento,memento mystery thriller christophernolan guypearce carrie annemoss joepantoliano man shortterm memory loss attempt track wife s murderer
119,Avengers: Infinity War,avengers  infinity war action adventure sci fi anthonyrusso joerusso robertdowneyjr  chrishemsworth avenger ally must willing sacrifice attempt defeat powerful Thanos blitz devastation ruin put end universe
120,Coco,coco animation adventure drama leeunkrich adrianmolina anthonygonzalez gaelgarc abernal aspire musician Miguel   confront family s ancestral ban music   enter Land Dead find greatgreatgrandfather   legendary singer
121,Kimi no na wa.,kimi no na wa  animation drama fantasy makotoshinkai ryunosukekamiki monekamishiraishi ryonarita two teenager share profound   magical connection upon discover swap body   thing manage become even complicated boy girl decide meet person
122,WALL·E,wall e animation adventure family andrewstanton benburtt elissaknight jeffgarlin distant future   small wastecollecte robot inadvertently embark space journey ultimately decide fate mankind
123,3 Idiots,  idiots comedy drama rajkumarhirani aamirkhan madhavan monasingh two friend search long lose companion   revisit college day recall memories friend inspire think differently   even rest world call   idiot  
124,The Lives of Others,the lives of others drama mystery thriller florianhenckelvondonnersmarck ulrichm he martinagedeck sebastiankoch   East Berlin   agent secret police   conduct surveillance writer lover   find become increasingly absorb life
125,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,dr  strangelove or  how i learned to stop worrying and love the bomb comedy war stanleykubrick petersellers georgec scott sterlinghayden insane american general order bombing attack Soviet Union   trigger path nuclear holocaust war room full politician general frantically try stop
126,Capharnaüm,capharna m drama nadinelabaki zainalrafeea yordanosshiferaw boluwatifetreasurebankole serve fiveyear sentence violent crime   yearold boy sue parent neglect
127,Das Boot,das boot drama war wolfgangpetersen j rgenprochnow herbertgr nemeyer klauswennemann German Uboat stalk frigid water North Atlantic young crew experience sheer terror claustrophobic life submariner World War II
128,Sunset Blvd.,sunset blvd  drama film noir billywilder williamholden gloriaswanson erichvonstroheim screenwriter develop dangerous relationship fade film star determine make triumphant return
129,Paths of Glory,paths of glory drama war stanleykubrick kirkdouglas ralphmeeker adolphemenjou refuse attack enemy position   general accuse soldier cowardice command officer must defend
130,Witness for the Prosecution,witness for the prosecution crime drama mystery billywilder tyronepower marlenedietrich charleslaughton veteran british barrister must defend client murder trial surprise surprise
131,The Great Dictator,the great dictator comedy drama war charleschaplin charleschaplin paulettegoddard jackoakie Dictator Adenoid Hynkel try expand empire poor jewish barber try avoid persecution Hynkel s regime
132,Tengoku to jigoku,tengoku to jigoku crime drama mystery akirakurosawa toshir mifune yutakasada tatsuyanakadai executive Yokohama shoe company become victim extortion chauffeur s son kidnap mistake hold ransom
133,Kaithi,kaithi action adventure crime lokeshkanagaraj karthi narain arjundas Dilli   exconvict   endeavour meet daughter first time leave prison   however   attempt interrupt due drug raid plan Inspector Bejoy
134,Sardar Udham,sardar udham biography crime drama shoojitsircar vickykaushal shaunscott stephenhogan biopic detail   decade Punjabi Sikh revolutionary   Udham Singh   spend plan assassination man responsible Jallianwala Bagh massacre
135,Dil Bechara,dil bechara comedy drama romance mukeshchhabra sushantsinghrajput sanjanasanghi sahilvaid emotional journey two hopelesslyinlove youngster   young girl   Kizie   suffering cancer   Manny   boy Kizie meet support group
136,Asuran,asuran action drama vetrimaaran dhanush manjuwarrier prakashraj teenage son farmer underprivileged caste kill rich   upper caste landlord   pacifist farmer save hotblooded son rest story
137,Sanshô dayû,sansh  day  drama kenjimizoguchi kinuyotanaka yoshiakihanayagi ky kokagawa medieval Japan   compassionate governor send exile   wife child try join   separate   child grow amid suffer oppression
138,Vada Chennai,vada chennai action crime drama vetrimaaran dhanush ameersultan radharavi young carrom player north Chennai become reluctant participant war two war gangster
139,Flåklypa Grand Prix,fl klypa grand prix animation comedy family ivocaprino wenchefoss pertheodorhaugen haraldheide steenjr  Reodor Felgen decide enter car race defeat former friend steal plan car
140,Marmoulak,marmoulak comedy drama kamaltabrizi parvizparastui bahramebrahimi rezasaeedi recently jail petty thief disguise Mullah succeed escape   stay Mullah   role long expect
141,Black Friday,black friday action crime drama anuragkashyap kaykaymenon pawanmalhotra adityasrivastav film investigation follow   serial Bombay bomb blast   tell different story people involve   police   conspirator   victim   middleman
142,Kad porastem bicu Kengur,kad porastem bicu kengur comedy radivojeandric sergejtrifunovic marijakaran nebojsaglogovac one peculiar night   live several interconnected people change   rapidly experience love   disappointment   joy   greed remorse
143,Drishyam 2,drishyam   crime drama thriller jeethujoseph mohanlal meena ansiba grip tale investigation family threaten   Georgekutty able protect family time
144,Kaun Pravin Tambe?,kaun pravin tambe  biography drama sport jaypraddesai shreyastalpade gauravkamble arifzakaria indian cricketer show persistence hardwork achieve ultimate goal play Ranji Trophy   penultimate stage career age believe people s career end   start new chapter life
145,Filantropica,filantropica comedy drama naecaranfil mirceadiaconu gheorghedinica maranicolescu Ovidiu   highschool teacher look extra buck   find unexpected way earn easy money
146,Mahanati,mahanati biography drama nagashwin keerthysuresh dulquersalmaan samantharuthprabhu Biography Savitri   actress South India movie industry   rule industry two decade s s
147,Aruvi,aruvi drama arunprabhupurushothaman aditibalan padmashrimohammadali pradeepanthony gentle girl bear bring amidst ever grow ecosocialconsumeristic environment find difficult fit society   decide take hard people   rest story
148,Kapicilar Krali,kapicilar krali comedy drama zekikten kemalsunal sevdaferdag bilgezobu janitordoorman family come   big city   Istanbul   hope live well life   different character live building   story evolve around   see full summary
149,Dzhentlmeny udachi,dzhentlmeny udachi comedy crime drama aleksandrseryy evgeniyleonov georgiyvitsin saveliykramarov happen peaceful kindergarten teacher incredibly similar terrible villain stole helmet Alexander Great   villain s accomplice unexpectedly similar child   also need love care
